+----------------------------------------------------------------------------+
|                          ΑΠΟΘΗΚΗ ΦΑΡΜΑΚΩΝ  21/10/2020                      |
|----------------------------------------------+--+--------+-------+---------|
|                     ONOMA                    |ΜΜ|ΠΟΣΟΤΗΤΑ|ΑΡΙΘΜΟΣ|ΗΜ. ΛΗΞΗΣ|
|----------------------------------------------+--+--------+-------+---------|
+----------------------------------------------------------------------------+

                          ΑΝΤΙΙΣΤΑΜΙΝΙΚΑ

+----------------------------------------------------------------------------+
+----------------------------------------------------------------------------+
|Aerius 5mg tab                                |TT|1       |30     |1/11/2020|
|----------------------------------------------|--|--------|-------|---------|
|Aerius 5mg tab                                |TT|3       |30     |1/1/2021 |
|----------------------------------------------|--|--------|-------|---------|
|Aerius 5mg tab                                |TT|1       |30     |1/2/2021 |
|----------------------------------------------|--|--------|-------|---------|
|Aerius 5mg tab                                |TT|3       |30     |1/1/2022 |
|----------------------------------------------|--|--------|-------|---------|
|Aerius 5mg tab                                |TT|2       |30     |1/2/2022 |
|----------------------------------------------|--|--------|-------|---------|
|Bilaz 20mg tab                                |TT|1       |30     |1/3/2021 |
|----------------------------------------------|--|--------|-------|---------|
|Bilaz 20mg tab                                |TT|1       |30     |1/5/2021 |
|----------------------------------------------|--|--------|-------|---------|
|Bilaz 20mg tab                                |TT|1       |30     |1/7/2022 |
|----------------------------------------------|--|--------|-------|---------|
|Bilaz 20mg tab                                |TT|1       |30     |1/9/2022 |
|----------------------------------------------|--|--------|-------|---------|
|Bilaz 20mg tab                                |TT|1       |30     |1/8/2023 |
|----------------------------------------------|--|--------|-------|---------|
|Atarax 25mg tab                               |TT|1       |9      |1/3/2023 |
|----------------------------------------------|--|--------|-------|---------|
|Xozal 5mg tab                                 |TT|1       |30     |1/5/2022 |
|----------------------------------------------|--|--------|-------|---------|
|Xozal 5mg tab                                 |TT|1       |30     |1/8/2022 |
|----------------------------------------------|--|--------|-------|---------|
|Xozal 5mg tab                                 |TT|1       |30     |1/11/2022|
|----------------------------------------------|--|--------|-------|---------|
|Xozal 5mg tab                                 |TT|2       |30     |1/1/2023 |
|----------------------------------------------|--|--------|-------|---------|
|Xozal 5mg tab                                 |TT|20      |30     |1/5/2023 |
|----------------------------------------------|--|--------|-------|---------|
|Xozal 5mg tab                                 |TT|5       |30     |1/12/2023|
|----------------------------------------------|--|--------|-------|---------|
|Fenistil gel 30gr                             |TU|3       |-      |1/1/2021 |
|----------------------------------------------|--|--------|-------|---------|
|Fenistil gel 30gr                             |TU|9       |-      |1/3/2021 |
|----------------------------------------------|--|--------|-------|---------|
|Fenistil gel 30gr                             |TU|1       |-      |1/5/2021 |
|----------------------------------------------|--|--------|-------|---------|
+----------------------------------------------------------------------------+

                          ΑΝΑΛΓΥΤΙΚΑ - ΑΝΤΙΦΛΕΓΜΟΝΩΔΗ

+----------------------------------------------------------------------------+
+----------------------------------------------------------------------------+
|Aspirin-C 400+240mg ΑΝΑΒΡΑΖΟΝ                 |TT|1       |10     |1/3/2021 |
|----------------------------------------------|--|--------|-------|---------|
|Aspirin 500mg tab                             |TT|2       |20     |1/12/2021|
|----------------------------------------------|--|--------|-------|---------|
